Location (ENG),Location (CYM),Postcode,Access Notes (ENG),Access Notes (CYM),Charge to access,Monday (open),Monday (close),Tuesday (open),Tuesday (close),Wednesday (open),Wednesday (close),Thursday (open),Thursday (close),Friday (open),Friday (close),Saturday (open),Saturday (close),Sunday (open),Sunday (close),Are services reduced during off-peak season?,What is off-peak? (En),What is off-peak? (Cy),Closed Christmas Day?,Closed Boxing Day?,Closed New Year's Day?,Closed May Bank Holiday?,Closed Good Friday?,Closed Easter Sunday?,Closed Easter Monday?,Closed Spring Bank Holiday?,Closed August Bank Holiday?,Male Only,Female Only,Unisex Toilet,Baby change (in male toilet),Baby change (in female toilet),Baby change (in unisex toilet),Baby change (in separate room),Baby change (in disabled toilet),Disabled - open access (male),Disabled - open access (female),Disabled - open access (unisex),Disabled - RADAR (male),Disabled - RADAR (female),Disabled - RADAR (unisex),Changing place,UPRN,Lat,Long,X coordinate (BNG),Y coordinate (BNG)
Sirhowy Valley Country Park,Parc Gwledig Cwm Sirhywi,,,,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,Yes,Summer opening times provided (1st April-30th October). Winter opening hours (1st November-31st March) Mon-Fri 8:30-16:00,Darperir oriau agor yr haf (1 Ebrill tan 31 Hydref). Oriau agor y gaeaf (1 Tachwedd tan 31 Mawrth) Llun-Gwe 8:30-16:00,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,43170572,51.628308,-3.190616,317684,192837
Sue Noake Leisure Centre,Canolfan Hamdden Sue Noake,CF82 8AA,,,None,17:00,22:00,17:00,22:00,17:00,21:00,17:00,22:00,17:00,21:00,10:00,16:00,10:00,16:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43019970,51.64164,-3.23327,314757,194369
"The Kiosk, Ystrad Mynach Park","Y Ciosg, Parc Ystrad Mynach",,,,None,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,,,,,Yes,Summer opening times provided (1st April-30th September). Winter opening hours (1st October-31st March) Mon-Fri 8:00-16:00,Darperir oriau agor yr haf (1 Ebrill tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mawrth) Llun-Gwe 8:00-16:00.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,43175893,51.63624,-3.23696,314491,193772
The Living Room Cafe,Caffi The Living Room,NP24 6EE,,,None,09:30,15:00,09:30,15:00,,,09:30,15:00,,,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,43164603,51.71909,-3.24061,314395,202991
"The Visitor Centre, Caerphilly","Canolfan Ymwelwyr, Caerffili",CF83 1JL,,,None,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,No,,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43036727,51.57525,-3.2176,315718,186967
Ty Penallta Corporate Offices (including Customer Services),Swyddfeydd Corfforaethol Ty Penallta (gan gynnwys Gwasanaethau Cwsmeriaid),CF82 7PG,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43164445,51.64495,-3.24977,313621,194756
"Visitor Centre, Cwmcarn Forest Drive","Canolfan Ymwelwyr, Ffordd Goedwig Cwmcarn",NP11 7FE,,,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,Yes,During October to Easter close 16:30 on a Friday ,Mis Hydref tan y Pasg: yn cau am 16:30 Gwener,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43087321,51.63524,-3.11219,323124,193522
Waunfawr Park Kiosk and Community Garden,Parc Waunfawr - Ciosg a Gardd Gymunedol,,,,None,07:30,19:00,07:30,19:00,07:30,19:00,07:30,19:00,07:30,19:00,12:00,16:00,12:00,16:00,Yes,Summer opening times provided (1st April-30th September). Winter opening hours (1st October-31st March) Mon-Fri 8:00-15:00,Darperir oriau agor yr haf (1 Ebrill tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mawrth) Llun-Gwe 8:00-15:00.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,43164727,51.61584,-3.12376,322290,191377
Winding House Museum,Amgueddfa'r Ty Weindio,NP24 6EG,"On first floor, stairs and lift available ",Ar y llawr cyntaf - grisiau a lifft ar gael. ,None,,,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,11:00,16:00,,,No,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43091597,51.71681,-3.23573,314728,202732
Ystrad Mynach Library,Llyfrgell Ystrad Mynach,CF82 7BB,,,None,09:30,17:00,09:30,18:00,09:30,17:00,09:30,13:00,09:30,18:00,09:30,13:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43018538,51.64258,-3.23588,314578,194476
