Sr. No.,Toilet ID,Assessor Address,Latitude,Longitude
63,VMC/006/PTB/063,BHIMNATH,22.3057698,73.185491
64,VMC/006/PTB/064,J.P.police station,22.294687,73.152643
65,VMC/007/PTB/065,CHHANI,22.363126,73.166717
66,VMC/008/PTB/066,AMITNAGAR,22.327456,73.207224
67,VMC/011/PTB/067,NATUBHAI CIRCLE,22.3096256,73.1590977
68,VMC/011/PTB/068,HARINAGAR,22.3099622,73.1532581
69,VMC/012/PTB/069,SUSEN,22.2571617,73.1986317
70,VMC/012/PTB/070,TARSALI,22.256194,73.215459
71,VMC/002/CTB/071,"Varsia, Nr. Corporation Garden",22.311508,73.216622
72,VMC/002/CTB/072,Nr. Vijaynagar Community Hall,22.315642,73.215514
73,VMC/004/CTB/073,Nr. Danteshwar Gam,22.275787,73.211911
74,VMC/006/CTB/074,"Patel Chawl, Akota",22.303613,73.1768
75,VMC/006/CTB/075,"Ishwarkrupa, Akota ",22.302264,73.179203
76,VMC/006/CTB/076,Ghantekri,22.301245,73.179229
77,VMC/010/CTB/077,Chhaganlal Ni Chawl,22.317292,73.178202
78,VMC/010/CTB/078,Priyalaksmi chal,22.317704,73.177826
79,VMC/012/RSU/079,"MAKARPURA RAILWAY STATION, MAMEJA GAM ROAD, VADODARA, GUJARAT",22.2336576,73.1760402
80,VMC/007/OTH/080,"7 seas Mall,Opp.Arvind Gardan, Fatehgunj,Vadodara,Gujarat",22.3226771,73.186898
81,VMC/003/OTH/081,"Amit corporation, near vrundavan mall, parivar char tasta, waghodia road,vadodara,gujarat",22.2942357,73.238007
82,VMC/003/OTH/082,"AROM COMPLEX, SOMATALAV. DABHOI, ROAD.",22.2790597,73.2310451
83,VMC/007/OTH/083,Arvind Kumar &co nh8 opp saptpadi party plot Chhani  vadodara  Gujarat.,22.3598983,73.1667233
84,VMC/010/OTH/084,atlantis k 10 a opposite honest family restorent opposite bharat petroleum vikram sarabhai marg vadodara,22.3176907,73.1681122
85,VMC/004/OTH/085,"B/H Deep Chambers, Manjalpur, Vadodara",22.2734997,73.1968216
86,VMC/011/OTH/086,"Bansal Mall, Gotri Vasna Road, Vasna",22.3034639,73.1382516
87,VMC/010/OTH/087,central square mall opposite vadodara Central mall Vikram sarabhai road near genda circle Vadodara,22.3182829,73.1695049
88,VMC/006/OTH/088,D MART. VASANA ROAD,22.2949005,73.1529923
89,VMC/004/OTH/089,"D-Mart Makarpura, Nr. Akashwani, Opp. SRP Ground, Makarapura, Vadodara, Gujarat.",22.2614032,73.199975
90,VMC/003/OTH/090,"d'mart, Kaladarshan, Waghodia road.",22.2880791,73.2287386
91,VMC/004/OTH/091,"Eva the mall Patidhar char Rasta, Manjalpur, Vadodara, Gujarat",22.273286,73.1881925
92,VMC/007/OTH/092,g f Patel &co  nh 8 chhani.opp saptapadi party plot Chhani vadodara. Gujarat,22.3584,73.1671567
93,VMC/005/OTH/093,"gheekata road, vadodara",22.3043117,73.201001
94,VMC/006/OTH/094,lndia bulls mega mall jetalpur road,22.3060679,73.1799965
95,VMC/008/OTH/095,MEDICAL CARE TRUST KASHIBA OPP JALARAM MANDIR KARELIBAUG VADODARA GUJARA,22.3154183,73.1955767
96,VMC/006/OTH/096,near railway station v mart Vadodra,22.3107417,73.1801383
97,VMC/007/OTH/097,"Nizampura S T Depo, Proqub Complex,Nizampura Main Road, Nizampura,Vadodara,Gujrat",22.3330967,73.1803367
98,VMC/010/OTH/098,ocean opposite vadodara central vikram sarabhai road near genda circle Vadodara,22.3181845,73.1689588
99,VMC/010/OTH/099,opposite  Bharat petrol  pump  genda  circle,22.3171417,73.1678583
100,VMC/010/OTH/100,opposite Bhart petroem Atlantis complex sarabhai road geda carcal,22.31698,73.1673867
101,VMC/006/OTH/101,opposite Bob  bank alkapuri  vadodara,22.3108267,73.172845
102,VMC/006/OTH/102,"opposite Sterling hospital beside inox, natubhai circle road Vadodara",22.3126856,73.1575908
103,VMC/010/OTH/103,panorama  complex oppsite hotel welcome alkapuri vadodara,22.3110502,73.1666795
104,VMC/010/OTH/104,r c dart road opposite welcome hotel alkaruri arcade,22.3115183,73.1676383
105,VMC/002/OTH/105,Red coral gada circle harni vadodara,22.3414733,73.218865
106,VMC/006/OTH/106,"reliance mega mall, near pitambar socity old padra road,vadodara,Gujarat",22.2851034,73.1640165
107,VMC/008/OTH/107,"salatvada road, vadodara",22.3061339,73.1947608
108,VMC/004/OTH/108,Salin Complex Vrajdham Mandir road patidar char rastta Manjalpur Vadodara Gujarat,22.2729613,73.1871803
109,VMC/006/OTH/109,sidharth complex opposite  joyalukas  r c dart road,22.3099883,73.16934
110,VMC/006/OTH/110,south west mall sun pharma road,22.2803775,73.1494742
111,VMC/006/OTH/111,Spencer's opposite central square,22.31753,73.1703483
112,VMC/007/OTH/112,swati shopping new sama road,22.3426981,73.1859621
113,VMC/003/OTH/113,"TAKSH COMPLEX, PRATAP NAGAR, DABHOI ROAD.",22.280644,73.2251122
114,VMC/006/OTH/114,trident complex nr race cource circle,22.3142362,73.1641296
115,VMC/006/OTH/115,Vadodara Central opposite central square vikram sarabhai marg near genda circle Vadodara,22.3173495,73.16984
116,VMC/007/OTH/116,nr nutan balwadi ayyappa temple municipal health centre,22.3407925,73.1945621
117,VMC/009/OTH/117,sawad urban primary helth center vadododar,22.3200017,73.2161583
118,VMC/010/OTH/118,old ward 10 office nr subhanpura guest house subhanpura,22.3206227,73.1543468
119,VMC/010/OTH/119,subhanpura urban health centre nr subhanpura garden subhanpura,22.32026,73.1549434
120,VMC/012/OTH/120,"VADASAR URBAN HEALTH CENTER, NEAR VADASAR BRIDGE, GIDC, MAKARPURA",22.259265,73.1810767
121,VMC/001/OTH/121,"ward 9 old office, sudama puri urban helth centre,opp.Harish petrol pump, opp.New Hevan complex, out side panigate.",22.3001461,73.2199129
122,VMC/004/OTH/122,Manjalpur sweage pumping station nr. manjalpur sports complex manjalpur vadodara Gujarat,22.2728848,73.1853711
123,VMC/008/OTH/123,"nr. kishanvadi police station, ajwa road, vadodara,  gujarat",22.3100686,73.2302387
124,VMC/004/OTH/124,"sport complex, Vraj dham mandir Road Manjalpur ,Vadodara , Gujrat",22.2727793,73.1851397
125,VMC/006/OTH/125,"Urban Health Centre Tandalja, Near Water tank, Tandalja Road, Vadodara, Gujarat",22.2889938,73.154417
126,VMC/010/OTH/126,Ward no.10 near post office,22.3211991,73.1539561
127,VMC/008/OTH/127,"BHUTADIZAMPA PICKUP STAND,OPP.VEHICALEPOOL,BHUTADIZAMPA ROAD,VADODARA,GUJARAT",22.3072886,73.2071769
128,VMC/006/OTH/128,"Atladara Urban Helth Center, Behind Swaminarayan Mandir Atladara , Vadodara, Gujarat",22.2740217,73.1569133
129,VMC/004/OTH/129,"VMC Urban Primary Health Centre, Nr. Gajanand Society, Manjalpur, Vadodara, Gujarat.",22.2792069,73.1959425
130,VMC/010/OTH/130,near iti gorwa vadodara,22.3358729,73.153096
131,VMC/004/OTH/131,"Manjal pur service station, Under lalbaug bridge, manjalpur, vadodara,gujarat",22.2791567,73.197495
132,VMC/011/OTH/132,"G.M.E.R.S ,Medical College  & Hospital ,Gotri Main Road ,Vadodara , Gujrat",22.3132145,73.1482075
133,VMC/005/OTH/133,"Urban health center, Jubelibaug , near Ghandhinagar Gruh, Vadodara, Gujarat.",22.3030016,73.2051188
134,VMC/007/OTH/134,"galani service station, opp.goverdhan nathji haveli, nizampura main road, nizampura,Vadodara, Gujarat",22.3307457,73.1812628
135,VMC/007/OTH/135,"Vadodara Gas Ltd.,CNG Pump,NrMiletry Boy Hostel,Nizampura,Vadodara,Gujarat.",22.3406867,73.1779567
136,VMC/005/OTH/136,"Nr,s s c Bard  Navapura vadodara",22.289067,73.2026198
137,VMC/012/OTH/137,"UMAKANT COMUNITY HALL, B/S. MAKARPURA IND'L CO.OP.BANK, G.I.D.C, MAKARPURA, VADODARA, GUJARAT",22.2589647,73.1857127
138,VMC/006/OTH/138,Akota garden nr. water tank,22.2941317,73.1720617
139,VMC/006/OTH/139,"Vad Garden, Near Harsh Residency, Sun Pharma Road, Vadodara,Gujarat",22.2796938,73.1582642
140,VMC/008/OTH/140,sarsiyatalav pase bag,22.3056946,73.2129965
141,VMC/008/HPT/141,HARIBHAKTI SALATWADA VADODARA 390001 GUJARAT INDIA,22.30713,73.195925
142,VMC/009/HPT/142,navjeevan prasutigruh warasiya ring road vadodara gujarat,22.3123833,73.2241133
143,VMC/006/HPT/143,ESI HOSPITAL NEAR HAVELI BPC ROAD,22.3047187,73.1728682
144,VMC/006/HPT/144,"Opp. Jawahar Nagar Society, O. P. Road, Diwalipura",22.3036791,73.1515245
145,VMC/009/HPT/145,bapod urban health centre aman society ajwa road,22.3033942,73.2298881
146,VMC/009/HPT/146,"urban health centre,  nr.kishanvadi  police station,  ajwa road,  vadodara,  gujarat.",22.3099949,73.2301788
147,VMC/005/HPT/147,"Yogini vasant devi Hospital,goyagate ,near shiv shkti circle,vadodara.",22.284149,73.2052392
148,VMC/011/HPT/148,"ESIS Hospital ,Near Ushanagar Socity, Gotri Link Road ,Gotri ,Vadodara ,Gujrat",22.3096462,73.1498308
149,VMC/012/HPT/149,"URBEN PRIMARY HEALTH CENTER, B/S BUS STOP, NR. BANK OF BARODA, MANEJA GAM, VADODARA, GUJARAT",22.2363566,73.1793561
150,VMC/003/HPT/150,"kapurai Urban health center ,Kapurai Chowkadi, kapurai raod,vadodara,gujarat",22.2764697,73.2375845
151,VMC/007/HPT/151,urben health center Chhani opp Chhani bus stop Chhani vadodara Gujarat,22.3628467,73.165195
152,VMC/003/HPT/152,"Gajravadi Urban health center, behind prkruti tena ment,near ramvatika punam complex road,wadi,vadodara,gujarat",22.291945,73.2221874
153,VMC/009/HPT/153,"Shree Vijay vallabh Sarvajani Hospital, near SBI Bank, Opp/ JamnaBai Hospital, Chhipwad, Vadodara, Gujarat.",22.3003524,73.2125789
154,VMC/007/HPT/154,"vmc Urban helth center, Ekta nagar, Ding dong chokdi, Near water tank, Tp-13, Channi, Vadodara, Gujarat",22.3446109,73.1687794
155,VMC/007/HPT/155,"vmc navayyard urban health centre, nr roshan nagar, navayard, vadodara, gujarat",22.3395426,73.1688305
156,VMC/003/HPT/156,"Urban health center Yamuna mill, hathiyakhad road,Gajrawadi,Vadodara,Gujarat",22.2909187,73.2150028
157,VMC/010/HPT/157,inox opposite Sterling hospital  inox road Vadodara,22.3128604,73.1583366
158,VMC/007/HPT/158,"narhari hospital,  nr kamatibaug, fatehgunj main road, fatehgunj, vadodara, gujarat.",22.3177793,73.1878835
159,VMC/007/HPT/159,vadodara mahanagar palika arban primary helath centre navapura azad maidan patthargate road,22.3079035,73.1827472
160,VMC/005/HPT/160,yogini vasant devi arogya mandir pratap nagar road opp vihar cinema,22.2892843,73.2099281
161,VMC/005/HPT/161,arban primary health center opposed depak open thethar ajad medan madanzapa road vadodara,22.2950183,73.2053083
162,VMC/007/MLL/162,nava yard,22.3253137,73.1763249
163,VMC/008/FSS/163,navayard saint Joseph school,22.3362049,73.1740968
164,VMC/008/FSS/164,"SHREENATH PETROL PUMP,BHUTADIZAMPA,VADODARA,GUJARAT",22.3092657,73.2049683
165,VMC/002/FSS/165,Vaishakhi corporation motnath mahadev road harni vadodara,22.3424267,73.2182967
166,VMC/007/FSS/166,Bharat petrol pump sama vadodara,22.343365,73.2030083
167,VMC/007/FSS/167,Essar petrol pump sama vadodara,22.3450317,73.202835
168,VMC/010/FSS/168,"at indian oil petrol pump , high tension road subhanpura",22.3212973,73.1549137
169,VMC/010/FSS/169,"realiance petrol pump, nr high tension road subhanpura",22.3214117,73.1552636
170,VMC/008/FSS/170,Indian  oil  rupam cenima fatepura vadodara,22.3135583,73.2114467
