19.13722, 72.85667, WPT001
19.13778, 72.85611, WPT002
19.13639, 72.85500, WPT003
19.13417, 72.85528, WPT004
19.12667, 72.84778, WPT005
19.13528, 72.85611, WPT006
19.13528, 72.85611, WPT007
19.13417, 72.85611, WPT008
19.13389, 72.85611, WPT009
19.13472, 72.85556, WPT010
19.13500, 72.85861, WPT011
19.13556, 72.85944, WPT012
19.13583, 72.85861, WPT013
19.13556, 72.85917, WPT014
19.13667, 72.85944, WPT015
19.13639, 72.85833, WPT016
19.13639, 72.85833, WPT017
19.13611, 72.85833, WPT018
19.13722, 72.85722, WPT019
19.13722, 72.85722, WPT020
19.13722, 72.85694, WPT021
19.13472, 72.84972, WPT022
19.13556, 72.85722, WPT023
19.13528, 72.85694, WPT024
19.13500, 72.85694, WPT025
19.13500, 72.85694, WPT026
19.13528, 72.85750, WPT027
19.13500, 72.85722, WPT028
19.13528, 72.85722, WPT029
19.13639, 72.85694, WPT030
19.13611, 72.85667, WPT031
19.13611, 72.85667, WPT032
19.13667, 72.85583, WPT033
19.13667, 72.85444, WPT034
19.13639, 72.85444, WPT035
19.13667, 72.85194, WPT036
19.13639, 72.85222, WPT037
19.13722, 72.85139, WPT038
19.13722, 72.84972, WPT039
19.13750, 72.84944, WPT040
19.13778, 72.84944, WPT041
19.13944, 72.84972, WPT042
19.09944, 72.85500, WPT043
19.09944, 72.85500, WPT044
19.09917, 72.85472, WPT045
19.09694, 72.85611, WPT046
19.09722, 72.85639, WPT047
19.09806, 72.85528, WPT048
19.09889, 72.85444, WPT049
19.09889, 72.85444, WPT050
19.10028, 72.85500, WPT051
19.10083, 72.85500, WPT052
19.10111, 72.85583, WPT053
19.10139, 72.85611, WPT054
19.10056, 72.85694, WPT055
19.10028, 72.85722, WPT056
19.10083, 72.85750, WPT057
19.10833, 72.86000, WPT058
19.10806, 72.86000, WPT059
19.10806, 72.86000, WPT060
19.09556, 72.85167, WPT061
19.09556, 72.85139, WPT062
19.13972, 72.85306, WPT063
19.13972, 72.85306, WPT064
19.13444, 72.86306, WPT065
19.13444, 72.86306, WPT066
19.13444, 72.86306, WPT067
19.13444, 72.86333, WPT068
19.13444, 72.86306, WPT069
19.13444, 72.86306, WPT070
19.13472, 72.86306, WPT071
19.12278, 72.86667, WPT072
19.09333, 72.85222, WPT073
19.13917, 72.85361, WPT074
19.13889, 72.85361, WPT075
19.13917, 72.85417, WPT076
19.13889, 72.85389, WPT077
19.13889, 72.85417, WPT078
19.13833, 72.85361, WPT079
19.13889, 72.85306, WPT080
19.13944, 72.85278, WPT081
19.14056, 72.85333, WPT082
19.14028, 72.85333, WPT083
19.14083, 72.85361, WPT084
19.14056, 72.85361, WPT085
19.14056, 72.85361, WPT086
19.14056, 72.85333, WPT087
19.14083, 72.85306, WPT088
19.14083, 72.85278, WPT089
19.13944, 72.86222, WPT090
19.13917, 72.86250, WPT091
19.13972, 72.86222, WPT092
19.14194, 72.86028, WPT093
19.14139, 72.86167, WPT094
19.14167, 72.86056, WPT095
19.14111, 72.86028, WPT096
19.14000, 72.86083, WPT097
19.09417, 72.85222, WPT098
19.09361, 72.85194, WPT099
19.09306, 72.85194, WPT100
19.14111, 72.85806, WPT101
19.14167, 72.85528, WPT102
19.14167, 72.85528, WPT103
19.14139, 72.85528, WPT104
19.14111, 72.85528, WPT105
19.14111, 72.85528, WPT106
19.14111, 72.85500, WPT107
19.14111, 72.85528, WPT108
