번호,화장실이름,관리부서,주소,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름
1026,관평도서관 3층,대전광역시 유성구청,대전광역시 유성구 관평동 917,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동
1096,국립대전현충원 보훈유가족쉼터,대전광역시 유성구청,대전광역시 유성구 갑동 334-14,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동
1281,유성구 보훈회관 1층,대전광역시 유성구청,대전광역시 유성구 구암동 622-6,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동
1315,주막어린이공원,대전광역시 유성구청,대전광역시 유성구 신성동 141-4,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012500,신성동
1330,엉고개어린이공원,대전광역시 유성구청,대전광역시 유성구 송강동 200-3,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1331,대전광역시 북부여성가족원 5층,대전광역시 유성구청,대전광역시 유성구 송강동 200-2,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1332,대전광역시 북부여성가족원 4층,대전광역시 유성구청,대전광역시 유성구 송강동 200-2,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1333,대전광역시 북부여성가족원 3층,대전광역시 유성구청,대전광역시 유성구 송강동 200-2,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1334,대전광역시 북부여성가족원 2층,대전광역시 유성구청,대전광역시 유성구 송강동 200-2,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1335,대전광역시 북부여성가족원 1층,대전광역시 유성구청,대전광역시 유성구 송강동 200-2,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1336,대전광역시 북부여성가족원 지하1층,대전광역시 유성구청,대전광역시 유성구 송강동 200-2,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1337,송강어린이공원,대전광역시 유성구청,대전광역시 유성구 송강동 184,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1338,구즉도서관 2층,대전광역시 유성구청,대전광역시 유성구 송강동 157,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1339,구즉도서관 1층,대전광역시 유성구청,대전광역시 유성구 송강동 157,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1340,송강사회복지관 별관2층,대전광역시 유성구청,대전광역시 유성구 송강동 10,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1341,송강사회복지관 별관1층,대전광역시 유성구청,대전광역시 유성구 송강동 10,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1342,송강사회복지관 3층,대전광역시 유성구청,대전광역시 유성구 송강동 10,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1343,송강사회복지관 2층,대전광역시 유성구청,대전광역시 유성구 송강동 10,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1344,송강사회복지관 1층,대전광역시 유성구청,대전광역시 유성구 송강동 10,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동
1345,성북산림욕장-하,대전광역시 유성구청,대전광역시 유성구 성북동 산84,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동
1346,성북산림욕장-상,대전광역시 유성구청,대전광역시 유성구 성북동 산72-3,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동
1347,대전광역시 시립박물관 3층,대전광역시 유성구청,대전광역시 유성구 상대동 488,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동
1348,대전광역시 시립박물관 1층,대전광역시 유성구청,대전광역시 유성구 상대동 488,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동
1349,천년근린공원,대전광역시 유성구청,대전광역시 유성구 상대동 484-5,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동
1350,상대근린공원,대전광역시 유성구청,대전광역시 유성구 상대동 458-2,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동
1352,대전유성경찰서 구즉파출소,대전광역시 유성구청,대전광역시 유성구 봉산동 296,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동
1353,구즉동주민센터 2층,대전광역시 유성구청,대전광역시 유성구 봉산동 294,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동
